r0,r1,t0,t1,vol
16.0105,16.6263,1.44,1.8,22.73
15.3947,16.0105,0,0.36,21.8723
15.3947,16.0105,0.36,0.72,21.8723
15.3947,16.0105,0.72,1.08,21.8723
15.3947,16.0105,1.08,1.44,21.8723
15.3947,16.0105,1.44,1.8,21.8723
14.7789,15.3947,0,0.36,21.0145
14.7789,15.3947,0.36,0.72,21.0145
14.7789,15.3947,0.72,1.08,21.0145
14.7789,15.3947,1.08,1.44,21.0145
14.7789,15.3947,1.44,1.8,21.0145
14.1632,14.7789,0,0.36,20.1536
14.1632,14.7789,0.36,0.72,20.1536
14.1632,14.7789,0.72,1.08,20.1536
14.1632,14.7789,1.08,1.44,20.1536
14.1632,14.7789,1.44,1.8,20.1536
13.5474,14.1632,0,0.36,19.2991
13.5474,14.1632,0.36,0.72,19.2991
13.5474,14.1632,0.72,1.08,19.2991
13.5474,14.1632,1.08,1.44,19.2991
13.5474,14.1632,1.44,1.8,19.2991
12.9316,13.5474,0,0.36,18.4414
12.9316,13.5474,0.36,0.72,18.4414
12.9316,13.5474,0.72,1.08,18.4414
12.9316,13.5474,1.08,1.44,18.4414
12.9316,13.5474,1.44,1.8,18.4414
12.3158,12.9316,0,0.36,17.5836
12.3158,12.9316,0.36,0.72,17.5836
12.3158,12.9316,0.72,1.08,17.5836
12.3158,12.9316,1.08,1.44,17.5836
12.3158,12.9316,1.44,1.8,17.5836
11.7,12.3158,0,0.36,16.7259
11.7,12.3158,0.36,0.72,16.7259
11.7,12.3158,0.72,1.08,16.7259
11.7,12.3158,1.08,1.44,16.7259
11.7,12.3158,1.44,1.8,16.7259
11.0842,11.7,0,0.36,15.8681
11.0842,11.7,0.36,0.72,15.8681
11.0842,11.7,0.72,1.08,15.8681
11.0842,11.7,1.08,1.44,15.8681
11.0842,11.7,1.44,1.8,15.8681
10.4684,11.0842,0,0.36,15.0104
10.4684,11.0842,0.36,0.72,15.0104
10.4684,11.0842,0.72,1.08,15.0104
10.4684,11.0842,1.08,1.44,15.0104
10.4684,11.0842,1.44,1.8,15.0104
9.8526,10.4684,0,0.36,14.1526
9.8526,10.4684,0.36,0.72,14.1526
9.8526,10.4684,0.72,1.08,14.1526
9.8526,10.4684,1.08,1.44,14.1526
9.8526,10.4684,1.44,1.8,14.1526
9.2368,9.85263,0,0.36,13.2949
9.2368,9.85263,0.36,0.72,13.2949
9.2368,9.85263,0.72,1.08,13.2949
9.2368,9.85263,1.08,1.44,13.2949
9.2368,9.85263,1.44,1.8,13.2949
8.62105,9.23684,0,0.36,12.437
8.62105,9.23684,0.36,0.72,12.437
8.62105,9.23684,0.72,1.08,12.437
8.62105,9.23684,1.08,1.44,12.437
8.62105,9.23684,1.44,1.8,12.437
8.00526,8.62105,0,0.36,11.5793
8.00526,8.62105,0.36,0.72,11.5793
8.00526,8.62105,0.72,1.08,11.5793
8.00526,8.62105,1.08,1.44,11.5793
8.00526,8.62105,1.44,1.8,11.5793
7.38947,8.00526,0,0.36,10.7215
7.38947,8.00526,0.36,0.72,10.7215
7.38947,8.00526,0.72,1.08,10.7215
7.38947,8.00526,1.08,1.44,10.7215
7.38947,8.00526,1.44,1.8,10.7215
6.77368,7.38947,0,0.36,9.8638
6.77368,7.38947,0.36,0.72,9.8638
6.77368,7.38947,0.72,1.08,9.8638
6.77368,7.38947,1.08,1.44,9.8638
6.77368,7.38947,1.44,1.8,9.8638
6.15789,6.77368,0,0.36,9.0061
6.15789,6.77368,0.36,0.72,9.0061
6.15789,6.77368,0.72,1.08,9.0061
6.15789,6.77368,1.08,1.44,9.0061
6.15789,6.77368,1.44,1.8,9.0061
5.5421,6.15789,0,0.36,8.1485
5.5421,6.15789,0.36,0.72,8.1485
5.5421,6.15789,0.72,1.08,8.1485
5.5421,6.15789,1.08,1.44,8.1485
5.5421,6.15789,1.44,1.8,8.1485
4.9263,5.54211,0,0.36,7.2908
4.9263,5.54211,0.36,0.72,7.2908
4.9263,5.54211,0.72,1.08,7.2908
4.9263,5.54211,1.08,1.44,7.2908
4.9263,5.54211,1.44,1.8,7.2908
4.3105,4.92632,0,0.36,6.433
4.3105,4.92632,0.36,0.72,6.433
4.3105,4.92632,0.72,1.08,6.433
4.3105,4.92632,1.08,1.44,6.433
4.3105,4.92632,1.44,1.8,6.433
3.6947,4.31053,0,0.36,5.5753
3.6947,4.31053,0.36,0.72,5.5753
3.6947,4.31053,0.72,1.08,5.5753
3.6947,4.31053,1.08,1.44,5.5753
3.6947,4.31053,1.44,1.8,5.5753
3.07895,3.69474,0,0.36,4.7175
3.07895,3.69474,0.36,0.72,4.7175
