Block,Point,Points_0,Points_1,Points_2,Points_Magnitude,ids,,r0,r1,t0,t1,vol
block_2,971,25.15,0.95625,0,25.1682,13146,,,,,,
block_2,800,25.15,0.9,0,25.1661,896,,,,,,
block_2,799,25.15,0.84375,0,25.1641,13017,,,,,,
block_2,796,25.15,0.7875,0,25.1623,3363,,,,,,
block_2,795,25.15,0.73125,0,25.1606,13014,,,,,,
block_2,784,25.15,0.675,0,25.1591,895,,,,,,
block_2,783,25.15,0.61875,0,25.1576,13005,,,,,,
block_2,780,25.15,0.5625,0,25.1563,3360,,,,,,
block_2,779,25.15,0.50625,0,25.1551,13002,,,,,,
block_2,732,25.15,0.45,0,25.154,893,,,,,,
block_2,731,25.15,0.39375,0,25.1531,12967,,,,,,
block_2,728,25.15,0.3375,0,25.1523,3350,,,,,,
block_2,727,25.15,0.28125,0,25.1516,12964,,,,,,
block_2,716,25.15,0.225,0,25.151,891,,,,,,
block_2,715,25.15,0.16875,0,25.1506,12955,,,,,,
block_2,712,25.15,0.1125,0,25.1503,3347,,,,,,
block_2,710,25.15,0.05625,0,25.1501,12952,,,,,,
block_2,711,25.15,0,0,25.15,892,,,,,,
block_2,1054,25.0875,1.8,0,25.152,13208,,,,,,
block_2,1053,25.0875,1.74375,0,25.148,13207,,,,,,
block_2,1050,25.0875,1.6875,0,25.1442,13205,,,,,,
block_2,1049,25.0875,1.63125,0,25.1405,13204,,,,,,
block_2,1038,25.0875,1.575,0,25.1369,13196,,,,,,
block_2,1037,25.0875,1.51875,0,25.1334,13195,,,,,,
block_2,1034,25.0875,1.4625,0,25.1301,13193,,,,,,
block_2,1033,25.0875,1.40625,0,25.1269,13192,,,,,,
block_2,990,25.0875,1.35,0,25.1238,13160,,,,,,
block_2,989,25.0875,1.29375,0,25.1208,13159,,,,,,
block_2,986,25.0875,1.2375,0,25.118,13157,,,,,,
block_2,985,25.0875,1.18125,0,25.1153,13156,,,,,,
block_2,974,25.0875,1.125,0,25.1127,13148,,,,,,
block_2,973,25.0875,1.06875,0,25.1103,13147,,,,,,
block_2,970,25.0875,1.0125,0,25.1079,13145,,,,,,
block_2,969,25.0875,0.95625,0,25.1057,13144,,,,,,
block_2,798,25.0875,0.9,0,25.1036,13016,,,,,,
block_2,797,25.0875,0.84375,0,25.1017,13015,,,,,,
block_2,794,25.0875,0.7875,0,25.0999,13013,,,,,,
block_2,793,25.0875,0.73125,0,25.0982,13012,,,,,,
block_2,782,25.0875,0.675,0,25.0966,13004,,,,,,
block_2,781,25.0875,0.61875,0,25.0951,13003,,,,,,
